timestamp,title,description,needs_geo_logic,reasoning,regulations
2025-08-25T07:57:31.908791,User Age verification system,System to verify user age when logging in,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T07:59:31.389742,User Age verification system,User Age verification system when logging in,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:02:20.670890,User Age verification system,User Age verification system,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:04:02.082130,User Age verification system,User Age verification system,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:07:27.334020,User Age verification system,User Age verification system,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:10:11.500288,User age verification system,User age verification system,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:11:06.378480,User age verification system,User age verification system,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:13:08.871873,User age verification system,User age verification system,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:14:31.741925,User age verification system,User age verification system,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:16:15.640536,User age verification system,User age verification system,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:16:41.665644,User age verification system,User age verification system,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:17:03.112135,User age verification system,User age verification system,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:18:15.909058,user age verification,user age verification,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:22:48.216453,user age,user age,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:23:09.818615,user age verification,user age verification,True,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA
2025-08-25T08:38:45.017573,user age verification system,user age verification system,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-25T08:46:06.930207,user age verification system,user age verification system,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-25T08:48:27.079900,user age verification system,user age verification system,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-25T08:49:17.903661,user age user verification system,user age verification system,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-25T08:51:41.067534,user age user verification system,user age verification system,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-27T07:20:28.727303,user age verification system,user age verification system,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-27T07:27:11.359873,Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-27T07:28:27.951426,Curfew login blocker with ASL and GH,We are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH.,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-27T08:22:58.464187,user age verification system,user age verification system,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-27T08:44:39.129623,user age verifiaciton,user age verifiaciton,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-27T08:54:56.836342,user age verification,user age verification,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-27T09:25:36.899071,Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using EchoTrace for auditability. This allows parental control to be enacted without user-facing alerts, operating in ShadowMode during initial rollout.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection
2025-08-27T09:25:36.936316,PF default toggle with NR enforcement for California teens,"As part of compliance with California's SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental opt-in is provided. Geo-detection is handled via GH, and rollout is monitored with FR logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.",False,0.6,Feature may have geo-compliance implications but appears low-risk based on current description,,low,Monitor for future compliance needs
